Coefficient Names,Coefficients,P-values
Discount Percentage,-1019.625863476062,2.13034776979957e-06
Number Of Ratings,-0.36829123846153966,1.0455232065168096e-25
Number Of Reviews,5.281271272024236,0.060871325649395173
Ram,393.88579232373655,0.023267953708673846
Mrp,0.910280400099958,0.06775557357607585
Intercept,6943.024809063951,8.999444341610929e-51
Mean Absolute Error,1539.6583785665898,
R-squared,0.9974277926220873,
